Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
77,Entry long,2025-09-08 07:00,NZDUSD_1100_LONG,0.59372,1,0.59372,-0.0002,-0.03,0,0.001,0.14,-0.001,-0.09,0.03,0.00,3
78,Exit long,2025-09-16 08:00,TP_OR_SL,0.59693,1,0.59772,-0.001,-0.13,0,0.0002,0.03,-0.001,-0.13,0.03,0.00,1
78,Entry long,2025-09-16 07:00,NZDUSD_1100_LONG,0.59772,1,0.59772,-0.001,-0.13,0,0.0002,0.03,-0.001,-0.13,0.03,0.00,1
79,Exit long,2025-10-17 08:00,TP_OR_SL,0.57196,1,0.57293,-0.001,-0.17,0,0.0003,0.06,-0.001,-0.17,0.03,0.00,1
79,Entry long,2025-10-17 07:00,NZDUSD_1100_LONG,0.57293,1,0.57293,-0.001,-0.17,0,0.0003,0.06,-0.001,-0.17,0.03,0.00,1
80,Exit long,2025-10-27 09:00,TP_OR_SL,0.57577,1,0.57662,-0.001,-0.15,0,0.0002,0.04,-0.001,-0.15,0.02,0.00,2
80,Entry long,2025-10-27 07:00,NZDUSD_1100_LONG,0.57662,1,0.57662,-0.001,-0.15,0,0.0002,0.04,-0.001,-0.15,0.02,0.00,2
81,Exit long,2025-11-11 08:00,TP_OR_SL,0.56599,1,0.56468,0.001,0.23,0,0.001,0.23,-0.00002,0.00,0.03,0.00,2
81,Entry long,2025-11-11 06:00,NZDUSD_1100_LONG,0.56468,1,0.56468,0.001,0.23,0,0.001,0.23,-0.00002,0.00,0.03,0.00,2
82,Exit long,2025-11-12 09:00,TIME_EXIT,0.56592,1,0.56574,0.0002,0.03,0,0.001,0.16,-0.0001,-0.02,0.03,0.00,3
