Trade number,Type,Date and time,Signal,Price AUD,Size (qty),Size (value),Net PnL AUD,Return %,Commission AUD,Favorable excursion AUD,Favorable excursion %,Adverse excursion AUD,Adverse excursion %,Cumulative PnL AUD,Cumulative PnL %,Duration (bars)
65,Entry long,2023-11-14 06:00,EURAUD_1100_LONG,1.68311,1,1.68311,-0.002,-0.11,0,0.001,0.06,-0.002,-0.11,0.02,0.00,2
66,Exit long,2023-12-05 09:00,TIME_EXIT,1.64988,1,1.64882,0.001,0.06,0,0.003,0.18,-0.001,-0.06,0.03,0.00,3
66,Entry long,2023-12-05 06:00,EURAUD_1100_LONG,1.64882,1,1.64882,0.001,0.06,0,0.003,0.18,-0.001,-0.06,0.03,0.00,3
67,Exit long,2023-12-29 08:00,TP_OR_SL,1.62647,1,1.62884,-0.002,-0.15,0,0.002,0.10,-0.002,-0.15,0.02,0.00,2
67,Entry long,2023-12-29 06:00,EURAUD_1100_LONG,1.62884,1,1.62884,-0.002,-0.15,0,0.002,0.10,-0.002,-0.15,0.02,0.00,2
68,Exit long,2024-01-03 09:00,TP_OR_SL,1.62728,1,1.62268,0.005,0.28,0,0.005,0.28,-0.0004,-0.02,0.03,0.00,3
68,Entry long,2024-01-03 06:00,EURAUD_1100_LONG,1.62268,1,1.62268,0.005,0.28,0,0.005,0.28,-0.0004,-0.02,0.03,0.00,3
69,Exit long,2024-01-04 09:00,TP_OR_SL,1.632,1,1.62704,0.005,0.30,0,0.005,0.30,-0.0001,-0.01,0.03,0.00,3
69,Entry long,2024-01-04 06:00,EURAUD_1100_LONG,1.62704,1,1.62704,0.005,0.30,0,0.005,0.30,-0.0001,-0.01,0.03,0.00,3
70,Exit long,2024-01-05 08:00,TP_OR_SL,1.63822,1,1.63372,0.005,0.28,0,0.005,0.28,-0.001,-0.07,0.04,0.00,2
70,Entry long,2024-01-05 06:00,EURAUD_1100_LONG,1.63372,1,1.63372,0.005,0.28,0,0.005,0.28,-0.001,-0.07,0.04,0.00,2
71,Exit long,2024-01-08 09:00,TIME_EXIT,1.6354,1,1.63653,-0.001,-0.07,0,0.004,0.22,-0.001,-0.08,0.04,0.00,3
71,Entry long,2024-01-08 06:00,EURAUD_1100_LONG,1.63653,1,1.63653,-0.001,-0.07,0,0.004,0.22,-0.001,-0.08,0.04,0.00,3
72,Exit long,2024-01-09 09:00,TIME_EXIT,1.63571,1,1.63366,0.002,0.13,0,0.002,0.14,-0.001,-0.09,0.04,0.00,3
72,Entry long,2024-01-09 06:00,EURAUD_1100_LONG,1.63366,1,1.63366,0.002,0.13,0,0.002,0.14,-0.001,-0.09,0.04,0.00,3
73,Exit long,2024-01-11 08:00,TP_OR_SL,1.63953,1,1.63603,0.004,0.21,0,0.004,0.21,-0.0002,-0.01,0.04,0.00,2
73,Entry long,2024-01-11 06:00,EURAUD_1100_LONG,1.63603,1,1.63603,0.004,0.21,0,0.004,0.21,-0.0002,-0.01,0.04,0.00,2
74,Exit long,2024-01-31 09:00,TP_OR_SL,1.64502,1,1.64742,-0.002,-0.15,0,0.0002,0.01,-0.002,-0.15,0.04,0.00,3
74,Entry long,2024-01-31 06:00,EURAUD_1100_LONG,1.64742,1,1.64742,-0.002,-0.15,0,0.0002,0.01,-0.002,-0.15,0.04,0.00,3
75,Exit long,2024-02-01 09:00,TIME_EXIT,1.65688,1,1.65814,-0.001,-0.08,0,0.002,0.15,-0.002,-0.10,0.04,0.00,3
75,Entry long,2024-02-01 06:00,EURAUD_1100_LONG,1.65814,1,1.65814,-0.001,-0.08,0,0.002,0.15,-0.002,-0.10,0.04,0.00,3
76,Exit long,2024-02-08 09:00,TIME_EXIT,1.65954,1,1.65658,0.003,0.18,0,0.003,0.19,-0.001,-0.06,0.04,0.00,3
76,Entry long,2024-02-08 06:00,EURAUD_1100_LONG,1.65658,1,1.65658,0.003,0.18,0,0.003,0.19,-0.001,-0.06,0.04,0.00,3
77,Exit long,2024-02-26 09:00,TIME_EXIT,1.65864,1,1.65661,0.002,0.12,0,0.003,0.17,-0.002,-0.09,0.04,0.00,3
77,Entry long,2024-02-26 06:00,EURAUD_1100_LONG,1.65661,1,1.65661,0.002,0.12,0,0.003,0.17,-0.002,-0.09,0.04,0.00,3
78,Exit long,2024-02-28 08:00,TP_OR_SL,1.66708,1,1.66382,0.003,0.20,0,0.003,0.20,-0.0004,-0.02,0.05,0.00,2
78,Entry long,2024-02-28 06:00,EURAUD_1100_LONG,1.66382,1,1.66382,0.003,0.20,0,0.003,0.20,-0.0004,-0.02,0.05,0.00,2
79,Exit long,2024-02-29 08:00,TP_OR_SL,1.6651,1,1.66718,-0.002,-0.12,0,0.002,0.13,-0.002,-0.12,0.04,0.00,2
79,Entry long,2024-02-29 06:00,EURAUD_1100_LONG,1.66718,1,1.66718,-0.002,-0.12,0,0.002,0.13,-0.002,-0.12,0.04,0.00,2
80,Exit long,2024-03-04 09:00,TIME_EXIT,1.66534,1,1.6644,0.001,0.06,0,0.002,0.13,-0.002,-0.10,0.05,0.00,3
80,Entry long,2024-03-04 06:00,EURAUD_1100_LONG,1.6644,1,1.6644,0.001,0.06,0,0.002,0.13,-0.002,-0.10,0.05,0.00,3
81,Exit long,2024-03-13 09:00,TP_OR_SL,1.65311,1,1.6547,-0.002,-0.10,0,0.001,0.05,-0.002,-0.10,0.04,0.00,2
81,Entry long,2024-03-13 07:00,EURAUD_1100_LONG,1.6547,1,1.6547,-0.002,-0.10,0,0.001,0.05,-0.002,-0.10,0.04,0.00,2
82,Exit long,2024-03-18 09:00,TP_OR_SL,1.65755,1,1.659,-0.001,-0.09,0,0.0002,0.01,-0.001,-0.09,0.04,0.00,2
82,Entry long,2024-03-18 07:00,EURAUD_1100_LONG,1.659,1,1.659,-0.001,-0.09,0,0.0002,0.01,-0.001,-0.09,0.04,0.00,2
